Title,Views,Likes,Comments,Channel Title,Description,Tags,Published,Link
"S22の先行プレイで海外の超有名キャラコン厨と遭遇するNIRU【APEX LEGENDS】",1571210,34987,596,"NIRU","生放送 http://twitch.tv/nniru  コラボPC  https://www.pc-koubou.jp/pc/game_niru.php  NIRUの本　https://t.co/JuZYKHHjTZ  20キル&4000ダメージ  https://youtube.com/playlist?list=PLnz4nYMGRMWwOoRpZvtOBikEOEQu9C2Hg  twitter https://twitter.com/nirunno  インスタグラム https://instagram.com/niru.1218  コントローラー手元動画 https://youtu.be/9ia4bwN-HFU  NIRUグッズ　https://nirus.booth.pm/  #NIRU  #APEXLEGENDS","",2024-08-17 11:30,"https://youtube.com/shorts/-ohUVM4kfGA"
"How hard is #1 Apex Predator to hold? #shorts",2093504,67577,655,"HisWattson","","",2025-03-23 12:52,"https://youtube.com/shorts/6wFWoMy_HXM"
"さすがに皆に出来て欲しいキャラコン３選【APEX LEGENDS】#shorts",1588883,46863,324,"ばつねじ【Apexサブカル系実況】","さすがに皆に出来て欲しいキャラコン３選 Let`s begin. スパレジェを当てるメリット↓ https://youtu.be/5RX8UGTeOnw  ぜひチャンネル登録お願いします！ https://www.youtube.com/channel/UC2JAjosPLS4WMetfl6304hg #Shorts #apexバッジ #apexスキン この動画を見ていただきありがとうございます。  Twitter https://twitter.com/x_nezy_YouTube  BGMをお借りさせてもらっているチャンネル様 https://www.youtube.com/user/NoCopyrightSounds  BGMをお借りさせてもらっているサイト等 https://otologic.jp/free/se/accent05.html https://dova-s.jp/  動画素材をお借りさせてもらっているサイト等 https://ytsozaiyasan.com/video https://www.pinterest.jp/ Puple Planet https://www.purple-planet.com/  この動画のbgm https://inaudio.org/track/sax-beat-funk/  スキンにもこだわり方に向けた最高の情報   最後まで見ていただきありがとうございました。  今日のひとこと物語 apex シーズン","ばつねじ, 無料, Shorts, #Shorts, apex スキン, エーペックス, apex 猛者バッジ, apex バッジ, apex プレデター, apex 炎上, ape shorts, apex 炎上まとめ, apex チート, apex 古参勢, apex スパレジェ, apex シーズン21, スパレジェ, 失敗から生まれた",2024-08-01 19:00,"https://youtube.com/shorts/LaJigLKwsBg"
"The Craziest Cheats In Apex Legends History",1555987,66358,961,"RossTheeSquirrel","The Craziest Cheats In Apex Legends History 😅 Apex Legends News. Apex Leaks.  Apex Legends Season 23 | Apex Legends Private Custom Lobby | Apex Ranked | Apex Funny Moments | Apex Shorts | How to Hit Masters |  Apex Legends Gameplay | Apex Legends News | Apex Bug | Apex Lore | Apex Legends: Shockwave | Apex Legends Ranked Tips | New District Map  #shorts #apex #apexlegends #apexclips   Footage of the streamer clipped by BirnoOCE.","apex, apex legends, apex leaks, apex ranked, apex funny moments, apex legends leaks, apex easter egg, rare heirloom animation, apex legends nostalgia, apex news, heirloom shards, universal heirloom, apex artifact, exotic shards, heirloom apex, apex is broken, apex tips, apex ltm, bangalore heirloom recolor, dual wield, apex karambit, pathfinder prestige skin, techno terror, apex halloween, season 23 battle pass, season 23, apex season 23 news, from the rift",2024-10-29 04:26,"https://youtube.com/shorts/b8AZaixJ6Bc"
"5 Custom Heirlooms in Apex Legends!",1309559,54822,642,"RossTheeSquirrel","5 of the COOLEST Heirlooms in Apex Legends! Apex Legends News. Apex Leaks.  Heirloom and Artifacts are what every player of Apex Legends wants to have for their Legend. Whether it's Revenant's Scythe, Fuse's Guitar, Horizon's Gravity Maw, Octane's Butterfly Knife, or the Katar Artifact, Apex Legends has a bunch of Heirlooms to choose from.  With R5 Reloaded, a modded version of Apex Legends, players can create their own Heirlooms and models, such as a Ballistic Knife, Wolverine Claws, Warhammer, and so much more!  These are 5 of the coolest heirlooms that should come to Apex Legends!  Apex Legends Season 21 | Apex Legends Private Custom Lobby | Apex Ranked | Apex Funny Moments | Apex Shorts | How to Hit Masters |  Apex Legends Gameplay | Apex Legends News | Apex Bug | Apex Lore | Apex Legends: Upheaval | Apex Legends Ranked Tips | Katar Universal Heirloom  #shorts #apex #apexlegends #apexclips","apex, apex legends, apex leaks, apex ranked, apex funny moments, apex legends leaks, apex easter egg, rare heirloom animation, apex legends nostalgia, apex news, heirloom shards, universal heirloom, apex artifact, exotic shards, season 21, heirloom apex, apex is broken, alter, apex tips, season 21 ranked, season 21 news, apex season 21, apex ltm, legend mastery system, lifeline prestige skin, double take event, bangalore heirloom recolor, season 22 battle pass",2024-07-22 02:11,"https://youtube.com/shorts/yOnTA7wRi7w"
"プレデター自慢をする配信者www【APEX LEGENDS】#shorts #りー",1708101,34331,283,"りーえふぴーえす。","#apexlegends #apex #エーペックスレジェンズ #エーペックス","エーペックスレジェンズ, apex, apexlegends, エーペックス, プレデター, キーマウ, りー, Riy, りーえふぴーえす。, ゲーム実況, 配信者",2025-03-01 23:48,"https://youtube.com/shorts/0NCIkJEWTQg"
"Diabolical Crypto Trap #apexlegends #apex",1253316,47395,406,"Johnny Price","LIVE STREAM DAYS/TIMES Sunday / Tuesday / Wednesday / Friday / Saturday  Make sure to hit the bell to turn on notifications! :D  Socials(Twitter, Discord, Etc)   - beacons.ai/johnnypricetv   #Apexlegends #apex #JohnnyPrice","Apex Legends, Apex Funny, Apex Legends Gameplay, Johnny Price, JohnnypriceTV, Somebody to love, Apex, Apex legends challenges, Apex Legends Heirloom, Apex Legends ranked, Johnny Price Apex, Apex Johnny, Horizon Apex, Horizon Somebody to love, Apex Daily Moments, Apex Daily, Apex Montage, playapex, Johnny Horizon",2025-01-21 01:01,"https://youtube.com/shorts/vB0YhDQ1vIg"
"突然女を見せてきたひなのに困惑しつつも落とそうとするヘンディー【ヘンディー/トナカイト/ボドカ/橘ひなの/APEX LEGENDS】",1142873,51800,104,"トナカイト(ヘンディー)Gameです","元配信 タイトル：【APEX】ギチギチフルパエペ /VDK,橘ひなの　※Twitch https://www.twitch.tv/videos/2308074182  ●ボドカ　さん https://x.com/VodkaChaso ●橘ひなの　さん https://x.com/hinano_tachiba7  使用しているPCはこちらからチェックしてください! https://onl.tw/sEKsKsb  幼少の頃からゲームにハマり、ゲームと共に過ごしてきました。 だからと言ってめっちゃ上手いというわけでもない僕です。 少しでも気になったらチャンネル登録よろしくお願いしまぁぁぁす！！ あ、評価とコメントもよろしくお願いします。","トナカイト, トナカイと, トナ, とな, ゲーム, 実況, カイト, かいと, kaito, KAITO, 大乱闘, フリーゲーム, 爆笑, シュール, アクションゲーム, パソコンゲーム, PCゲーム, ゲーム機器, WiiU, PS, DS, PSP, アプリ",2024-12-01 19:00,"https://youtube.com/shorts/v3d7H7lhEDY"
"Apex CONTROLLER Players NEED To Use This NOW",1277954,67011,552,"District","⚠️ INTERESTED IN APEX COACHING? Check out private and group classes below!  ✅ PERSONAL COACHING ➡️ https://thedistrict.pro/en-cad/pages/get-apex-coaching ✅ WEEKLY CLASSES ➡️https://thedistrict.pro/en-cad/pages/weekly-classes   ▬▬▬▬▬▬▬▬▬▬▬▬▬ ✅AIM CONTROLLERS | Code: DISTRICT 💥 Save 10% on Custom Controllers https://us.aimcontrollers.com/ref/450/  ✅ APEX GAMING PC's | Code: COACH  💥 Build your own custom PCs https://apexpartner.app/redirect/District  ✅ GFUEL ENERGY | Code: DISTRICT 💥 Stay focused with 30% off  https://sldr.page.link/QZsb  ✅ KONTROL FREAKS | Code: DISTRICT 💥 Get extra accuracy and grip on controller https://glnk.io/3vlxq/District  ✅ GAMER ADVANTAGE | Code: FINALBOSS 💥 Protect your eyes from long gaming sessions https://gameradvantage.com/?ref=FINALBOSS  ▬▬▬▬▬▬▬▬▬▬▬▬▬ SOCIALS ⚠️ DISCORD SERVER - https://Discord.gg/fsdistrict ⚠️ DISCORD USER - therealdistrict  ⚠️ TWITTER - http://www.twitter.com/Dorkstrict ⚠️ INSTAGRAM - http://www.Instagram.com/Dorkstrict ⚠️ FACEBOOK - https://www.facebook.com/CoachDistrict ⚠️ SNAPCHAT - TheDorkstrict ▬▬▬▬▬▬▬▬▬▬▬▬▬ ✅Business Inquiries: Mason@theDistrict.pro ▬▬▬▬▬▬▬▬▬▬▬▬▬ CHAPTERS  ▬▬▬▬▬▬▬▬▬▬▬▬ #apexlegends #district #apexcoach  ▬▬▬▬▬▬▬▬▬▬▬▬▬ Production Music courtesy of http://www.artlist.io","#apex, #apexlegends, #apex ranked, #apex master, #apex predator, #how to, apex coaching, apex help, Apex guides, apex pro, apex coach, apex gameplay",2024-12-11 01:29,"https://youtube.com/shorts/yzPneIsb7Tg"
"意外と強いのに人気がない武器３選【APEX LEGENDS】#shorts",1091064,24475,258,"ばつねじ【Apexサブカル系実況】","意外と強いのに人気がない武器３選 Let`s begin. スパレジェを当てるメリット↓ https://youtu.be/5RX8UGTeOnw  ぜひチャンネル登録お願いします！ https://www.youtube.com/channel/UC2JAjosPLS4WMetfl6304hg #Shorts #apexバッジ #apexスキン この動画を見ていただきありがとうございます。  Twitter https://twitter.com/x_nezy_YouTube  BGMをお借りさせてもらっているチャンネル様 https://www.youtube.com/user/NoCopyrightSounds  BGMをお借りさせてもらっているサイト等 https://otologic.jp/free/se/accent05.html https://dova-s.jp/  動画素材をお借りさせてもらっているサイト等 https://ytsozaiyasan.com/video https://www.pinterest.jp/ Puple Planet https://www.purple-planet.com/  この動画のbgm https://inaudio.org/track/sax-beat-funk/  スキンにもこだわり方に向けた最高の情報   最後まで見ていただきありがとうございました。  今日のひとこと物語 apex シーズン","ばつねじ, 無料, Shorts, #Shorts, apex スキン, エーペックス, apex 猛者バッジ, apex バッジ, apex プレデター, apex 炎上, ape shorts, apex 炎上まとめ, apex チート, apex 古参勢, apex スパレジェ, apex シーズン21, スパレジェ, 失敗から生まれた",2024-06-22 19:00,"https://youtube.com/shorts/xZU6IS8eLFk"
"プレデターのグラップル集パスファインダー使い方【APEX LEGENDS】 #apex #shorts #エーペックス",1056587,29074,371,"じーぷろ【APEX解説】","コメント、高評価いつもありがとう！ 10万人登録者目標です...!  メンバーシップ↓ https://www.youtube.com/channel/UC5DvsaWSa_Hi4-QjOTv0eTw/join  ■プロフィール■ 各種SNSでコンテンツ投稿及び配信をしています！ X  https://twitter.com/gprodaisuki Tiktok https://www.tiktok.com/@gprodaisuki Twitch  https://www.twitch.tv/gprodaisuki  所属チーム LILAS Gaming  各種共にIDは@gprodaisuki  感度 800 1.2 1.0 FOV110  マウス Lamzu Atlantis Mini Pro  キーボード Apex pro mini  マウスパッド ARTISAN 零 FX MID  イヤホン se215  #じーぷろ #Apex #ApexLegends","apex, apexlegends, エーペックス, じーぷろ, Gprou, エーペックスレジェンド, パスファインダー",2024-07-28 16:00,"https://youtube.com/shorts/qetZAPtKqMY"
"【Apex Legends】　上手さよりもきもさを大事に　 #shorts",2149260,14041,122,"ぺんぎんです","#エーペックスレジェンズ #エーペックス #ゆっくり実況   動画の編集方法など参考にさせていただいた方 @おぐみちゃん  録画ソフト→OBS 編集ソフト→YMM4＋Aviutl  差材提供サイト ◎全曲無料・フリー音楽素材/魔王魂様→http://maoudamashii.jokersounds.com/ ◎DOVA-SYNDROME様→https://dova-s.jp/ ◎効果音ラボ様→http://soundeffect-lab.info/  この動画は東方Projectの二次創作です。原作に無い設定が多く含まれます。  ■東方Project：二次創作ガイドライン https://touhou-project.news/guideline/  ■立ち絵素材：きつねゆっくり http://www.nicotalk.com/charasozai_kt...  ■立ち絵素材：素材規約 http://www.nicotalk.com/kiyaku.html#g...   ■AquesTalk：ゆっくりボイス https://www.a-quest.com/","",2025-04-24 17:30,"https://youtube.com/shorts/fVlJFv91qQY"
"Faide Juking Everyone With New Wraith Buff #apexlegends",1516697,34542,235,"NH - Apex Legends","Apex Legends  https://www.twitch.tv/  #apex #apexlegends","apex, legends, apex legends, noobhunter, noobhunter apex, noobhunter apex legends, apex legends funny, apex legends funny moments",2025-03-27 05:00,"https://youtube.com/shorts/9isVZU9mfm0"
"AIにコーチングしてもらったら【APEX】 #apex #apexlegends #シア #ゲーム実況",993764,34327,261,"エぺ文句　タケゾー","#APEX  ▼Twitchで配信もします！！ https://www.twitch.tv/takezo354  ▼メンバーシップ開設ゥゥゥゥ!!メンバー登録は↓リンクから！ https://www.youtube.com/channel/UCE4fTYIygLvWzn-0IDM6lzw/join メンバー登録すると【・参加型配信・雑談配信・外配信・料理配信・飯配信】などの地声、実写配信が見れますッ！是非登録してくださいッ！  ▼Twitterもフォローするように！ https://twitter.com/takezo354","APEX, apex, 解説, 声真似, シア, 暴言シア, ランク",2024-08-02 18:30,"https://youtube.com/shorts/BXpcGUKM6fE"
"3年前のスピットファイアが強すぎるww【Apex Legends】Apexあるある #Shorts",1121090,32129,290,"ベジタイムにんじん","配信などはTwitterでお知らせしてます。 にんじんTwitter↓ https://twitter.com/VegetimeNINJIN  チャンネル登録や高評価をして頂けるとニッコリします。 よろしくお願いいたします。 https://www.youtube.com/channel/UCrkMfrxOb8FGJvLmQGKxhFw  【お問い合わせ＆仕事連絡はこちらへ】 →buber_info@blueoceanmedia.jp   #Shorts","Apex, エーペックスレジェンズ, Switch, PS4, 初心者, PC, PS5, 調整, ネタ, えぺ, チーター, チート, 弱体化, グリッチ, サポート, 強化, アップデート, TikTok, シーズン24, アッシュ",2025-03-17 17:29,"https://youtube.com/shorts/FWiurevI0iQ"
"キャラコンが3倍やりやすくなる裏技【Apex Legends】豆知識，設定 #Shorts",1033259,29033,39,"ベジタイムにんじん","配信などはTwitterでお知らせしてます。 にんじんTwitter↓ https://twitter.com/VegetimeNINJIN  チャンネル登録や高評価をして頂けるとニッコリします。 よろしくお願いいたします。 https://www.youtube.com/channel/UCrkMfrxOb8FGJvLmQGKxhFw  【お問い合わせ＆仕事連絡はこちらへ】 →buber_info@blueoceanmedia.jp   #Shorts","Apex, エーペックスレジェンズ, Switch, PS4, 初心者, 解説, PC, PS5, 調整, ティックトック, TikTok, ネタ, えぺ, チーター, チート, エイムアシスト, 弱体化, 新マップ, 裏ワザ, グリッチ, パッド, シーズン23",2024-12-09 17:17,"https://youtube.com/shorts/fmjvClE7_Qg"
"Sparrow is the best movement legend #apexlegends #apex #apexlegendsclips #apexmovement",1746517,43623,758,"Kagenou","","",2025-05-09 10:37,"https://youtube.com/shorts/jhmsjGHtXFw"
"Calificando a OCTANE de Apex Legends #Xamael",896997,67200,186,"Xamael Fokiu","🍆 *MIRAME EN VIVO* ➥ https://twitch.tv/xamaelruix 🍆 🍕 *Todas mis redes* ➥ https://beacons.ai/xamael  ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬  🐮 HAZTE MIEMBRO DEL CANAL -❯ https://www.youtube.com/@XamaelFokiu/join  📮 Contacto de negocios: Contactoxamael@gmail.com  #Xamael #XamaelRuix #XamaelFokiu","Colombia, español, samuelruix, xamaelruix, xamael, xama, xamael fokiu, octane, Octavio Silva, apex, apex legends, electronic arts, ea, respawn entertainment, octane apex legends, como jugar octane, quien es octane, quien es octavio silva, apex legends español, momentos graciosos apex legends, clips apex legends, calificando, calificando apex legends",2024-09-21 05:40,"https://youtube.com/shorts/lWoXXFn4cO0"
"全員スキャンはえぐすぎるｗｗｗ【APEX LEGENDS】 #apex #apexlegends #エーペックス",1830100,25180,393,"じーぷろ【APEX解説】","コメント、高評価いつもありがとう！ パスファインダーを極めています！ 10万人登録者目標です...!  メンバーシップ↓ https://www.youtube.com/channel/UC5DvsaWSa_Hi4-QjOTv0eTw/join  ■プロフィール■ 各種SNSでコンテンツ投稿及び配信をしています！ X  https://twitter.com/gprodaisuki Tiktok https://www.tiktok.com/@gprodaisuki Twitch  https://www.twitch.tv/gprodaisuki  所属チーム LILAS Gaming  各種共にIDは@gprodaisuki  感度 800 1.2 1.0 FOV110  マウス AIM1 時雨  キーボード Apex pro mini  マウスパッド ARTISAN 零 FX MID  イヤホン se215  #パスファインダー  #Apex #エーペックス","apex, apexlegends, エーペックス, じーぷろ, Gprou, エーペックスレジェンド, パスファインダー",2025-05-10 12:01,"https://youtube.com/shorts/wsmYG4x4kSg"
"9万円のPCでAPEX LEGENDSは出来るのか?? #shorts #mdlmake #apexlegends",952423,17292,513,"MDL.make【公式】","エペは軽いのか重いのかわからない!!という声が多いので、 実際に低価格ゲーミングPCでプレイしてみました🎮️  ご視聴ありがとうございます✨️ ゲーミングPCメーカー「MDL.make」の公式YouTubeチャンネルです。  ぜひチャンネル登録・高評価お願いいたします○ ‪@mdlmake‬  --------------------------------  おすすめゲーミングPC (2025/05現在)  【新登場】GeForce RTX 5060搭載ゲーミングPC 話題の最新GPUを搭載したモデルが登場。 各ゲームタイトルも快適に動作する、今おすすめのゲーミングPCです。 価格 : ¥135,800~ https://mdlmake.shop/collections/rtx-5060  【クリエイター＆AI用途にも◎】RX 9070 XT搭載高性能PC 動画編集・画像生成・ストリーミングも快適。 高性能とコスパの両立を求めるプロユーザーにおすすめ。 価格 :  ¥265,800~ https://mdlmake.shop/collections/rx-9070-xt  【定番人気】Ryzen7 5700X × RTX 4060搭載ゲーミングPC 現在即納対象！スペックもコスパも妥協したくない。 そんな方にぴったりなおすすめのゲーミングPCです。 価格 : ¥126,800~ https://mdlmake.shop/products/mdl_t5746  【すぐ使える】数量限定即納ゲーミングPC 最短翌日に出荷いたします。今すぐゲーミングPCが必要な方におすすめです。 価格 : ¥126,800~ https://mdlmake.shop/collections/%E7%BF%8C%E6%97%A5%E5%87%BA%E8%8D%B7  ※価格は時期・カスタムにより変動いたします。  --------------------------------  「どんなゲーミングPCを買えばいいのかわからない...」 「〇〇をプレイしたいけど必要なスペックがわからない...」  最短15分で対応💨 ゲーミングPCについての購入相談は公式ラインまで✉️ →https://lin.ee/Q94Slhk (営業時間：午前9時～午後10時)  --------------------------------  公式サイト：https://mdlmake.shop/ 公式TikTok：https://www.tiktok.com/@mdl.make 公式X：https://x.com/mdl_make  #ゲーミングpc #mdlmake","",2025-01-03 20:04,"https://youtube.com/shorts/wVeLTxA-1vc"
"KNOW THESE Things In Apex Legends?!",862635,38044,157,"TimProVision","Today we have some Apex Legends tips and tricks in regards to think you should already know all the way in Apex Legends Season 21 and beyond. Let me know if these Apex tips are helpful! #apexlegends #apex","TimProVision, apex, apex legends, apex tips, apex legends tips, apex tips and tricks, apex legends tips and tricks, apex legends season 21, apex legends tips and tricks to improve, apex legends things you should know, apex things you should know, apex legends tips for beginners, apex legends tips and tricks for beginners",2024-07-12 02:00,"https://youtube.com/shorts/UtLXdZcbbno"
"SPARROW MOVEMENT IS CRAZY 😲",1583839,27953,315,"The Gaming Merchant","SPARROW MOVEMENT IS CRAZY  😲 #shorts","Apex Legends, Apex, Play Apex",2025-05-07 20:54,"https://youtube.com/shorts/xvZP2hpugiU"
"ピック率0%を達成したキャラ３選【APEX LEGENDS】#shorts",895439,19445,211,"ばつねじ【Apexサブカル系実況】","ピック率0%を達成したキャラ３選 Let`s begin. スパレジェを当てるメリット↓ https://youtu.be/5RX8UGTeOnw  ぜひチャンネル登録お願いします！ https://www.youtube.com/channel/UC2JAjosPLS4WMetfl6304hg #Shorts #apexバッジ #apexスキン この動画を見ていただきありがとうございます。  Twitter https://twitter.com/x_nezy_YouTube  BGMをお借りさせてもらっているチャンネル様 https://www.youtube.com/user/NoCopyrightSounds  BGMをお借りさせてもらっているサイト等 https://otologic.jp/free/se/accent05.html https://dova-s.jp/  動画素材をお借りさせてもらっているサイト等 https://ytsozaiyasan.com/video https://www.pinterest.jp/ Puple Planet https://www.purple-planet.com/  この動画のbgm https://inaudio.org/track/sax-beat-funk/  スキンにもこだわり方に向けた最高の情報   最後まで見ていただきありがとうございました。  今日のひとこと物語 apex シーズン","ばつねじ, 無料, Shorts, #Shorts, apex スキン, エーペックス, apex 猛者バッジ, apex バッジ, apex プレデター, apex 炎上, ape shorts, apex 炎上まとめ, apex チート, apex 古参勢, apex スパレジェ, apex シーズン21, スパレジェ, 失敗から生まれた",2024-11-15 19:00,"https://youtube.com/shorts/0650INnOXnM"
"【APEX】リコイル技術がもはやバグレベル？！疑惑のクリップが海外で大荒れしてしまう#apex #apexlegends #fyp #おすすめ #tiktok #ゲーム #shorts",947548,20877,691,"ぽこに / Poconi","#apex #apexlegends #game #gaming #gamer #fyp #funny #おすすめ #ゲーム実況 #shorts","",2024-08-17 17:50,"https://youtube.com/shorts/442ld8jO-Vc"
"Mande Finds a New Broken Nade Spot #apexlegends",1575231,20829,125,"NH - Apex Legends","Apex Legends  https://www.twitch.tv/  #apex #apexlegends","apex, legends, apex legends, noobhunter, noobhunter apex, noobhunter apex legends, apex legends funny, apex legends funny moments",2025-04-10 03:00,"https://youtube.com/shorts/CBNWLqyHLP8"
"さすがにみんな持ってないバッジ３選【APEX LEGENDS】#shorts",812114,20468,115,"ばつねじ【Apexサブカル系実況】","さすがにみんな持ってないバッジ３選 Let`s begin. スパレジェを当てるメリット↓ https://youtu.be/5RX8UGTeOnw  ぜひチャンネル登録お願いします！ https://www.youtube.com/channel/UC2JAjosPLS4WMetfl6304hg #Shorts #apexバッジ #apexスキン この動画を見ていただきありがとうございます。  Twitter https://twitter.com/x_nezy_YouTube  BGMをお借りさせてもらっているチャンネル様 https://www.youtube.com/user/NoCopyrightSounds  BGMをお借りさせてもらっているサイト等 https://otologic.jp/free/se/accent05.html https://dova-s.jp/  動画素材をお借りさせてもらっているサイト等 https://ytsozaiyasan.com/video https://www.pinterest.jp/ Puple Planet https://www.purple-planet.com/  この動画のbgm https://inaudio.org/track/sax-beat-funk/  スキンにもこだわり方に向けた最高の情報   最後まで見ていただきありがとうございました。  今日のひとこと物語 apex シーズン","ばつねじ, 無料, Shorts, #Shorts, apex スキン, エーペックス, apex 猛者バッジ, apex バッジ, apex プレデター, apex 炎上, ape shorts, apex 炎上まとめ, apex チート, apex 古参勢, apex スパレジェ, apex シーズン21, スパレジェ, 失敗から生まれた",2024-07-08 19:00,"https://youtube.com/shorts/r8C6gW8GyIQ"
